description,amount,category
implement seamless e-tailers,69.57,Dining Out
Wilson and Sons,96.44,Entertainment
integrate one-to-one technologies,50.75,Dining Out
Boone Inc,76.71,Transport
benchmark innovative systems,23.29,Groceries
Newton LLC,95.06,Entertainment
implement visionary partnerships,97.07,Groceries
"Lee, Day and Ruiz",60.32,Healthcare
e-enable out-of-the-box convergence,20.30,Dining Out
"Hall, Brown and Cervantes",25.96,Groceries
whiteboard world-class web services,67.90,Utilities
"Perez, Lewis and Wu",59.12,Transport
whiteboard proactive mindshare,56.79,Transport
"Gonzalez, Koch and Moreno",29.72,Groceries
syndicate impactful channels,12.26,Transport
Hartman Inc,17.99,Groceries
empower innovative info-mediaries,64.18,Healthcare
Brooks Ltd,78.25,Healthcare
monetize innovative eyeballs,42.41,Dining Out
Meadows-Salinas,58.30,Utilities
implement mission-critical vortals,91.88,Healthcare
Escobar Group,13.36,Healthcare
enhance killer architectures,14.67,Transport
"Smith, Young and Brown",90.98,Dining Out
transform bricks-and-clicks e-services,61.67,Healthcare
"Peterson, Mitchell and Johnson",51.13,Dining Out
orchestrate clicks-and-mortar networks,73.62,Transport
Wood-Miller,53.23,Healthcare
deploy B2C initiatives,33.64,Groceries
Yoder Group,95.73,Utilities
seize world-class web-readiness,67.69,Entertainment
Willis-Andrade,17.16,Dining Out
maximize cross-platform experiences,13.04,Utilities
Meza-Rose,17.66,Transport
re-intermediate cross-platform functionalities,74.99,Transport
"Oliver, Brooks and James",83.21,Groceries
extend dot-com interfaces,73.08,Transport
Thomas Group,67.19,Transport
orchestrate compelling systems,19.02,Groceries
Dudley-Gomez,60.96,Entertainment
exploit efficient users,32.56,Healthcare
"Fitzgerald, Lam and Johnson",82.50,Healthcare
implement granular paradigms,41.35,Healthcare
Black-Chapman,12.43,Utilities
synergize impactful convergence,76.73,Groceries
"Adams, West and Morales",54.63,Transport
deliver best-of-breed communities,76.30,Entertainment
"Grant, Ashley and Mcintosh",68.28,Healthcare
expedite one-to-one users,81.05,Groceries
Sims-Hebert,59.57,Utilities
unleash 24/7 niches,52.18,Transport
Gray LLC,87.11,Dining Out
transition plug-and-play initiatives,64.36,Transport
Kennedy Inc,66.33,Entertainment
utilize turn-key applications,56.27,Utilities
Reed-Huynh,31.82,Healthcare
e-enable impactful e-business,91.17,Groceries
Newton LLC,17.46,Dining Out
extend front-end ROI,97.13,Dining Out
"Hensley, Wallace and Sanders",27.11,Entertainment
orchestrate plug-and-play e-tailers,24.78,Transport
Ford-Wilson,41.95,Dining Out
engineer one-to-one architectures,36.96,Healthcare
Davis-Lloyd,44.49,Dining Out
iterate virtual eyeballs,89.07,Entertainment
Johnson-Powers,51.45,Transport
innovate next-generation platforms,29.97,Utilities
Payne PLC,50.15,Groceries
facilitate innovative ROI,19.09,Transport
Bush-Sims,86.47,Dining Out
architect wireless experiences,61.14,Utilities
Lopez Group,71.16,Entertainment
strategize 24/365 interfaces,68.41,Entertainment
"Downs, Acosta and Jensen",66.92,Dining Out
leverage strategic schemas,26.75,Utilities
Foster LLC,60.81,Dining Out
expedite bricks-and-clicks architectures,42.52,Entertainment
"Bond, Bartlett and Vincent",37.52,Healthcare
engineer clicks-and-mortar solutions,99.08,Groceries
Henry-Baldwin,89.50,Groceries
iterate proactive platforms,68.08,Transport
"Williams, Simmons and Vance",26.14,Utilities
transform collaborative e-commerce,71.25,Transport
Contreras Group,65.10,Entertainment
exploit B2B paradigms,70.55,Entertainment
"Simmons, Harris and Ward",58.70,Healthcare
innovate synergistic communities,37.36,Utilities
Bell-Osborne,56.02,Utilities
harness holistic systems,85.77,Entertainment
"Miller, Miller and Dawson",97.55,Transport
iterate wireless interfaces,55.44,Utilities
Smith LLC,18.87,Healthcare
re-contextualize plug-and-play functionalities,74.68,Entertainment
Wallace LLC,65.14,Healthcare
seize real-time action-items,61.96,Groceries
Schwartz-Thomas,16.64,Utilities
iterate leading-edge mindshare,29.88,Dining Out
Chung LLC,54.20,Utilities
visualize global infrastructures,44.42,Dining Out
Ward PLC,65.86,Dining Out
engage virtual metrics,86.41,Dining Out
Robinson-Mathews,23.57,Healthcare
aggregate open-source platforms,18.88,Groceries
Smith and Sons,78.57,Entertainment
target e-business users,34.74,Entertainment
Lopez-Mcdaniel,18.93,Healthcare
leverage vertical e-commerce,33.81,Dining Out
"Blair, Johnson and Ellis",49.16,Dining Out
productize rich mindshare,39.80,Utilities
Perez-Torres,68.21,Groceries
benchmark collaborative portals,93.13,Healthcare
Smith Inc,46.20,Healthcare
generate value-added info-mediaries,92.78,Groceries
Hess-Hayden,35.00,Transport
implement bricks-and-clicks web services,33.58,Groceries
Gregory Ltd,76.85,Utilities
maximize compelling functionalities,17.36,Utilities
Jackson-Barnett,52.92,Healthcare
unleash vertical functionalities,86.11,Groceries
"Gilmore, Ortiz and Howard",73.91,Groceries
empower turn-key channels,52.31,Groceries
"Page, Kirk and Turner",60.23,Groceries
syndicate end-to-end paradigms,79.42,Transport
"Fisher, Melendez and Neal",10.52,Transport
innovate holistic e-business,76.25,Entertainment
"Stone, Snow and Long",14.23,Utilities
leverage synergistic systems,49.13,Utilities
Lopez and Sons,33.68,Dining Out
extend cross-platform deliverables,77.04,Groceries
Clark and Sons,76.21,Entertainment
deploy synergistic networks,81.61,Healthcare
Quinn Group,22.14,Utilities
streamline plug-and-play applications,48.21,Entertainment
Powell Ltd,19.01,Entertainment
facilitate virtual content,44.37,Healthcare
"Harris, Bentley and Smith",14.22,Entertainment
drive best-of-breed e-services,93.00,Dining Out
"Lowe, Jones and Robinson",95.62,Entertainment
seize seamless schemas,19.36,Healthcare
Martinez-Smith,65.16,Utilities
empower B2B methodologies,31.32,Groceries
Harris-Murphy,33.00,Groceries
maximize open-source schemas,41.32,Dining Out
Fletcher-Shea,78.72,Utilities
disintermediate rich niches,92.09,Dining Out
"Landry, Maynard and Solomon",15.03,Entertainment
revolutionize seamless infrastructures,80.32,Healthcare
Hansen-Gomez,88.93,Utilities
engage sticky metrics,61.37,Groceries
"Miller, Mitchell and Perry",76.88,Utilities
synergize leading-edge supply-chains,68.43,Entertainment
Jimenez-Hogan,99.76,Groceries
integrate scalable content,46.72,Groceries
Berry-Rogers,56.08,Healthcare
enhance robust convergence,80.08,Dining Out
Chung LLC,13.36,Utilities
matrix B2B networks,24.20,Groceries
Fuentes-Wise,45.68,Utilities
syndicate virtual mindshare,86.82,Entertainment
Cruz Group,32.62,Entertainment
scale impactful markets,84.63,Healthcare
"Lopez, Jennings and Roberts",29.43,Groceries
grow world-class content,53.22,Dining Out
Campbell PLC,78.83,Groceries
evolve wireless relationships,53.72,Entertainment
Lara and Sons,48.60,Groceries
productize out-of-the-box experiences,90.72,Utilities
"Skinner, Barry and Austin",16.87,Healthcare
expedite frictionless applications,94.18,Dining Out
Green and Sons,71.46,Utilities
scale customized e-markets,70.82,Utilities
Harrington Ltd,75.00,Groceries
innovate frictionless convergence,15.02,Dining Out
"Odonnell, Copeland and Pennington",94.13,Groceries
monetize wireless networks,69.31,Groceries
"Garrett, Lewis and Coleman",82.73,Groceries
facilitate cross-platform e-markets,72.46,Healthcare
"Baxter, Owens and Barber",34.56,Dining Out
incubate sticky supply-chains,78.34,Entertainment
Lopez Ltd,89.86,Healthcare
optimize cross-media experiences,17.51,Dining Out
Fuller and Sons,82.48,Utilities
extend mission-critical action-items,45.50,Dining Out
Rodriguez-Rose,88.61,Transport
utilize dynamic deliverables,41.83,Entertainment
Cervantes-Henderson,73.61,Entertainment
engineer transparent portals,87.06,Transport
"Barr, Richmond and Stevens",10.73,Entertainment
streamline enterprise networks,35.25,Healthcare
"Cochran, Harrell and Williams",35.82,Entertainment
visualize 24/7 initiatives,79.43,Transport
"Kelly, Mitchell and Callahan",63.96,Dining Out
strategize extensible interfaces,94.35,Healthcare
Taylor LLC,18.53,Utilities
orchestrate global applications,27.26,Utilities
Rose-Salinas,48.67,Healthcare
evolve B2B mindshare,66.09,Healthcare
"Crawford, Bond and Nelson",28.16,Utilities
productize best-of-breed content,93.09,Groceries
"Gray, Lopez and Black",89.12,Utilities
mesh killer vortals,34.01,Transport
"Terry, Davenport and Kennedy",61.51,Groceries
strategize value-added metrics,36.03,Utilities
"Gonzalez, Kidd and Harvey",21.00,Entertainment
facilitate intuitive communities,59.33,Utilities
Welch-Zuniga,42.41,Groceries
grow scalable infrastructures,96.23,Healthcare
Harris-Acosta,52.76,Healthcare
transition collaborative paradigms,61.32,Transport
"Hayes, Velez and Chen",67.60,Utilities
disintermediate cutting-edge e-commerce,43.58,Transport
Gonzalez Group,75.68,Entertainment
revolutionize web-enabled e-business,81.76,Groceries
Foster-Curry,72.74,Transport
whiteboard wireless action-items,83.16,Utilities
Gonzalez Group,94.42,Entertainment
redefine plug-and-play initiatives,37.68,Transport
Morton-Carter,50.80,Groceries
enhance compelling e-business,30.80,Groceries
Baxter-Blevins,69.65,Entertainment
grow end-to-end e-tailers,14.72,Dining Out
"Wright, Hernandez and Rodriguez",36.05,Healthcare
innovate virtual initiatives,16.53,Dining Out
"Alvarado, Peterson and Colon",40.60,Transport
whiteboard world-class deliverables,22.00,Utilities
"Norton, Huynh and Reynolds",71.85,Transport
reinvent B2C architectures,49.51,Healthcare
Ray-Davis,45.56,Groceries
generate open-source supply-chains,96.12,Healthcare
Smith-Li,26.49,Utilities
whiteboard 24/7 schemas,60.92,Dining Out
"Christensen, Moore and Shaffer",77.76,Dining Out
expedite customized solutions,52.65,Healthcare
"Holland, Cooley and Ayala",37.40,Utilities
synergize front-end relationships,92.33,Transport
"Richardson, Simmons and Burke",31.76,Transport
reinvent visionary e-markets,42.36,Groceries
"Berger, Lawson and Schaefer",52.66,Healthcare
enhance rich action-items,26.81,Transport
"Garcia, Andersen and King",78.46,Healthcare
incentivize holistic convergence,38.92,Entertainment
Scott Inc,95.07,Dining Out
re-intermediate scalable metrics,63.19,Transport
"Moss, Hall and Weiss",92.16,Entertainment
synergize clicks-and-mortar users,56.41,Groceries
Crawford-Young,80.47,Dining Out
visualize frictionless ROI,60.87,Groceries
Graham Group,39.78,Healthcare
facilitate viral experiences,82.59,Healthcare
"Campbell, Brown and Gray",30.98,Utilities
deploy sticky interfaces,13.43,Groceries
Gomez-Williams,54.75,Entertainment
empower bleeding-edge e-commerce,50.82,Groceries
Hernandez-Jarvis,46.33,Utilities
leverage intuitive platforms,43.87,Transport
Price-Shaw,51.21,Utilities
utilize integrated action-items,28.49,Entertainment
Robinson Ltd,24.69,Transport
redefine leading-edge partnerships,15.03,Groceries
"Hubbard, Carlson and Brown",60.77,Utilities
implement B2C experiences,89.58,Healthcare
Gutierrez-Hansen,97.45,Transport
monetize 24/7 eyeballs,16.43,Transport
Underwood-Stewart,31.62,Utilities
leverage robust models,84.79,Transport
Moore-Sanchez,54.54,Groceries
drive efficient experiences,96.60,Utilities
"Foster, Mills and Morgan",96.40,Entertainment
monetize rich content,42.92,Dining Out
"Stone, Oliver and Foster",53.86,Utilities
mesh viral portals,46.44,Healthcare
"Mcmillan, Simpson and Wade",93.50,Transport
enable viral content,17.93,Groceries
Henson and Sons,48.88,Dining Out
harness one-to-one deliverables,49.78,Utilities
"Matthews, Smith and Ayala",81.00,Healthcare
disintermediate revolutionary initiatives,92.43,Transport
Chambers LLC,53.04,Healthcare
brand visionary metrics,70.36,Utilities
"Bender, Patrick and Washington",59.44,Healthcare
orchestrate e-business action-items,69.13,Utilities
Kelley Group,20.15,Entertainment
generate cross-platform vortals,55.59,Dining Out
Buck-Clark,70.12,Healthcare
synergize global functionalities,12.91,Dining Out
Alvarez-Vazquez,61.65,Transport
harness collaborative metrics,64.53,Entertainment
Hawkins Ltd,56.52,Groceries
enhance interactive content,42.08,Healthcare
"Wood, Roberson and Rogers",29.49,Entertainment
revolutionize open-source e-markets,42.54,Entertainment
Ortiz-Ross,63.04,Entertainment
grow dynamic users,96.67,Utilities
Williams Ltd,11.11,Groceries
optimize plug-and-play markets,70.47,Dining Out
"Martinez, Gilbert and Morales",84.39,Healthcare
deploy innovative architectures,61.85,Entertainment
Miller-Washington,46.71,Utilities
mesh open-source users,76.59,Transport
"Walton, Camacho and Mendez",13.06,Groceries
aggregate innovative initiatives,93.44,Dining Out
Todd Inc,70.54,Healthcare
orchestrate bricks-and-clicks models,82.86,Groceries
Rice PLC,11.05,Transport
generate wireless initiatives,41.61,Transport
Schmidt-Hall,67.87,Entertainment
morph customized systems,10.10,Dining Out
"Ramirez, Rose and Bates",38.11,Dining Out
envisioneer magnetic e-markets,40.38,Transport
Fleming Group,44.52,Entertainment
drive collaborative vortals,14.34,Utilities
Valdez-Lewis,13.24,Entertainment
utilize cross-platform experiences,91.37,Utilities
Richards Inc,90.30,Groceries
utilize ubiquitous e-tailers,33.19,Entertainment
Norton and Sons,46.90,Healthcare
incentivize enterprise synergies,31.92,Healthcare
Turner Group,48.37,Transport
re-intermediate next-generation solutions,86.46,Groceries
Molina-Logan,18.07,Healthcare
harness enterprise networks,22.23,Dining Out
Reyes Inc,61.83,Utilities
maximize robust ROI,10.15,Utilities
Sutton Ltd,22.75,Healthcare
incubate scalable bandwidth,84.22,Entertainment
Short-Bentley,45.89,Transport
implement integrated bandwidth,15.40,Groceries
"Clayton, Bryant and Sullivan",73.57,Entertainment
grow open-source technologies,33.85,Transport
Malone-Dixon,34.63,Dining Out
target rich markets,80.07,Groceries
"Bennett, Sharp and Morrison",41.15,Groceries
enhance 24/365 methodologies,65.97,Groceries
Patton and Sons,41.01,Transport
synthesize next-generation users,31.94,Healthcare
Hale PLC,97.67,Transport
productize real-time convergence,32.88,Groceries
"Johnson, Hamilton and Golden",18.09,Transport
disintermediate e-business web services,50.57,Healthcare
"Brooks, Gamble and Phillips",97.66,Utilities
embrace holistic functionalities,10.04,Healthcare
Young-Austin,58.23,Dining Out
e-enable customized markets,30.27,Healthcare
Hoffman Ltd,76.79,Transport
reinvent extensible web services,88.33,Groceries
"Wolf, Williams and Harris",99.28,Groceries
drive killer users,76.27,Utilities
"Watts, Richmond and Stark",89.84,Healthcare
productize holistic solutions,49.81,Groceries
Jenkins-Olsen,86.73,Healthcare
matrix viral bandwidth,69.74,Transport
"Garcia, Mcmahon and Lopez",22.21,Transport
maximize virtual experiences,41.97,Dining Out
Herrera-Williams,27.22,Transport
deliver distributed technologies,39.79,Transport
Thomas Group,77.62,Entertainment
strategize leading-edge relationships,23.90,Entertainment
"Jennings, Perry and Wallace",24.77,Healthcare
deliver dynamic deliverables,36.52,Transport
"Hancock, Mcbride and Whitaker",74.56,Groceries
whiteboard B2C applications,53.96,Transport
Newman-Aguilar,37.59,Entertainment
incubate distributed solutions,84.70,Transport
Wagner and Sons,43.26,Dining Out
utilize magnetic action-items,98.36,Utilities
"Lam, Reed and Spencer",99.35,Entertainment
productize 24/7 architectures,81.60,Dining Out
"Morgan, Torres and Brock",47.17,Transport
evolve synergistic relationships,63.19,Healthcare
"Dodson, Hopkins and Hernandez",63.10,Utilities
transform compelling bandwidth,32.33,Healthcare
"Gordon, Smith and Phillips",54.29,Entertainment
scale killer eyeballs,15.08,Entertainment
Wilcox-Lewis,88.25,Healthcare
disintermediate compelling convergence,27.89,Utilities
Gibson and Sons,80.96,Entertainment
deploy dynamic methodologies,85.04,Groceries
Davis-Graves,80.47,Healthcare
harness distributed web-readiness,93.18,Transport
"Burch, Wright and Thomas",94.47,Utilities
envisioneer robust content,80.65,Groceries
Weiss LLC,81.20,Transport
re-contextualize bricks-and-clicks interfaces,65.68,Groceries
Vang-Edwards,88.23,Groceries
disintermediate revolutionary e-tailers,77.68,Entertainment
Phillips-Mills,75.75,Groceries
expedite user-centric initiatives,70.46,Healthcare
Hart LLC,65.52,Entertainment
repurpose innovative portals,92.14,Healthcare
Scott Inc,87.60,Utilities
disintermediate cross-media models,48.81,Dining Out
Watts-Allen,66.59,Dining Out
enhance end-to-end paradigms,38.15,Entertainment
"Miller, Cox and Harrison",88.71,Transport
leverage web-enabled models,58.21,Utilities
"Mcdaniel, Mcclain and Parks",16.04,Transport
facilitate end-to-end systems,17.88,Dining Out
Hunter-Solis,32.24,Entertainment
matrix intuitive bandwidth,65.63,Transport
Garcia Inc,46.06,Entertainment
optimize turn-key models,38.04,Groceries
Santana Ltd,50.43,Groceries
empower open-source action-items,77.64,Transport
Nelson-Martin,39.75,Entertainment
incentivize compelling channels,15.33,Entertainment
Wilkins-Bautista,56.23,Groceries
synthesize transparent synergies,78.51,Healthcare
Martin-Holland,30.27,Healthcare
leverage enterprise functionalities,34.34,Entertainment
Rios-Schroeder,69.12,Entertainment
synergize efficient platforms,70.95,Groceries
"Clark, Blair and Taylor",95.38,Healthcare
empower efficient deliverables,34.25,Entertainment
Clark-Rice,71.93,Groceries
seize 24/365 e-tailers,70.93,Healthcare
"Taylor, Morris and Burke",13.63,Utilities
enable ubiquitous channels,81.03,Healthcare
Huber PLC,10.25,Entertainment
facilitate synergistic users,48.56,Groceries
Aguilar-Houston,38.25,Healthcare
expedite user-centric communities,43.34,Transport
"Gutierrez, Sosa and Roberts",24.46,Transport
benchmark magnetic applications,19.39,Dining Out
Wallace Group,34.04,Transport
expedite transparent infrastructures,37.78,Entertainment
Butler-Conner,66.75,Utilities
iterate virtual supply-chains,65.19,Entertainment
Warner-Mccoy,28.68,Utilities
optimize back-end paradigms,37.14,Dining Out
"Velasquez, Joseph and Rogers",61.15,Utilities
benchmark web-enabled networks,34.39,Utilities
"Williams, Sanchez and Carter",73.77,Groceries
generate ubiquitous ROI,95.58,Healthcare
Jones Inc,68.56,Dining Out
embrace 24/365 eyeballs,62.82,Groceries
"Baker, Moore and Brown",76.26,Utilities
evolve plug-and-play e-markets,38.21,Groceries
Parks-Ruiz,73.61,Groceries
morph value-added networks,28.56,Entertainment
"Perry, Mendez and Fuller",58.41,Healthcare
innovate mission-critical synergies,48.87,Utilities
Smith-Coffey,16.85,Dining Out
enhance B2C convergence,32.93,Healthcare
Wright-Cervantes,77.41,Groceries
architect distributed supply-chains,11.59,Healthcare
Ruiz-Sullivan,35.88,Utilities
revolutionize transparent platforms,55.56,Utilities
Hunter Group,61.85,Groceries
reinvent efficient communities,56.30,Groceries
"Sutton, Mathis and Brown",84.46,Entertainment
scale end-to-end bandwidth,98.10,Dining Out
Lowe-Mitchell,60.78,Groceries
reinvent real-time bandwidth,95.46,Groceries
Powell Inc,51.65,Healthcare
evolve plug-and-play niches,16.29,Dining Out
Thompson PLC,68.39,Groceries
cultivate strategic deliverables,93.28,Entertainment
"Moore, Wall and Rosario",16.70,Entertainment
evolve wireless convergence,71.53,Dining Out
Ramirez Inc,44.33,Entertainment
engineer customized e-business,80.47,Utilities
Brown-Rasmussen,99.08,Groceries
optimize transparent ROI,79.13,Entertainment
"Harrison, Jordan and Allison",17.12,Entertainment
embrace virtual networks,43.71,Utilities
Patton and Sons,91.86,Groceries
redefine virtual mindshare,35.04,Dining Out
"Cline, Wright and Harvey",65.24,Groceries
extend e-business methodologies,40.18,Healthcare
Harris PLC,12.59,Utilities
leverage rich users,97.02,Dining Out
"Castillo, Hensley and Murray",89.50,Entertainment
enhance synergistic architectures,27.95,Transport
Phillips-Pierce,71.08,Entertainment
integrate seamless web-readiness,38.06,Entertainment
"Smith, Mcdonald and Hamilton",63.93,Healthcare
engage one-to-one ROI,86.83,Dining Out
Jennings PLC,56.18,Entertainment
transform out-of-the-box schemas,66.40,Healthcare
"Escobar, Craig and Duffy",92.70,Dining Out
exploit turn-key niches,27.30,Healthcare
Skinner LLC,26.72,Healthcare
scale killer web-readiness,39.91,Groceries
"Hodges, Reed and Rodgers",74.68,Dining Out
transition integrated info-mediaries,55.22,Groceries
Schaefer PLC,57.74,Healthcare
synthesize real-time vortals,58.89,Groceries
Rivera Ltd,16.98,Entertainment
scale strategic networks,40.50,Utilities
Miller Inc,43.48,Entertainment
expedite customized action-items,10.89,Dining Out
Campos Group,90.07,Dining Out
transform bricks-and-clicks experiences,32.91,Utilities
Griffin Group,66.95,Entertainment
embrace global methodologies,85.03,Entertainment
Roberts-Chambers,97.69,Utilities
synthesize global ROI,18.40,Groceries
Ruiz-Harris,16.38,Healthcare
orchestrate one-to-one initiatives,16.63,Groceries
Grant-Nolan,15.56,Utilities
engage next-generation deliverables,39.21,Groceries
Hurst LLC,50.97,Healthcare
disintermediate collaborative partnerships,54.76,Groceries
Nelson and Sons,50.59,Entertainment
expedite turn-key technologies,62.39,Utilities
Ross Ltd,33.01,Entertainment
extend wireless models,91.32,Groceries
Wilson-Thompson,51.23,Dining Out
integrate best-of-breed partnerships,73.44,Utilities
Jones Inc,79.63,Dining Out
unleash scalable functionalities,28.81,Transport
Lewis-Sanchez,60.66,Transport
expedite proactive e-markets,79.74,Groceries
"Barnett, Faulkner and Cook",98.98,Healthcare
engage proactive e-business,28.56,Utilities
"Love, Hartman and Hancock",13.43,Utilities
scale global experiences,37.87,Groceries
Brown and Sons,23.21,Groceries
engage world-class infrastructures,91.28,Utilities
Phillips LLC,39.76,Transport
strategize bricks-and-clicks e-commerce,73.49,Groceries
"Dunn, Hunter and Lyons",36.30,Utilities
orchestrate out-of-the-box platforms,33.65,Groceries
"Tanner, Krause and Adams",51.89,Entertainment
drive virtual applications,83.75,Transport
Hines-Reid,35.50,Transport
extend global portals,23.09,Dining Out
Glover and Sons,68.29,Dining Out
enhance distributed infrastructures,61.27,Healthcare
Barker Group,92.39,Groceries
revolutionize wireless initiatives,72.34,Utilities
Hansen and Sons,52.29,Utilities
reinvent clicks-and-mortar functionalities,66.85,Healthcare
Clarke and Sons,46.66,Transport
whiteboard rich functionalities,18.83,Entertainment
Mcmahon-Carpenter,81.50,Healthcare
optimize B2C niches,87.89,Dining Out
Finley PLC,73.73,Utilities
deploy strategic niches,92.55,Healthcare
Sawyer-Ramirez,43.57,Transport
unleash scalable supply-chains,77.71,Dining Out
Brewer-Watson,82.30,Transport
enable leading-edge mindshare,42.84,Healthcare
Salazar-Gonzalez,10.86,Entertainment
optimize scalable e-markets,23.47,Utilities
Reynolds Group,99.50,Healthcare
exploit compelling channels,41.03,Entertainment
Jordan Ltd,93.66,Groceries
transform 24/365 ROI,89.36,Entertainment
Williams and Sons,46.79,Groceries
engage dynamic synergies,14.44,Dining Out
"Walker, Hanson and Garcia",75.00,Utilities
maximize compelling applications,31.97,Groceries
Henderson and Sons,73.12,Transport
synthesize extensible initiatives,73.13,Entertainment
Moody PLC,81.00,Dining Out
matrix plug-and-play bandwidth,84.70,Groceries
Pierce-Ramirez,10.23,Transport
disintermediate value-added deliverables,81.17,Healthcare
"Turner, Stewart and Brown",16.21,Groceries
re-intermediate virtual networks,14.62,Utilities
Clayton-Walker,10.27,Entertainment
implement compelling ROI,21.38,Dining Out
Mendoza-Roy,39.71,Entertainment
embrace dynamic users,39.46,Utilities
"Hernandez, Carpenter and Martinez",48.85,Entertainment
mesh distributed networks,98.32,Groceries
Keller-James,81.29,Dining Out
utilize enterprise eyeballs,77.31,Groceries
Pitts Ltd,77.41,Groceries
aggregate world-class mindshare,94.60,Dining Out
"Pearson, Reynolds and Jones",77.40,Entertainment
engineer sticky communities,13.23,Utilities
Pollard-Price,81.85,Dining Out
disintermediate integrated infrastructures,54.32,Healthcare
Atkins Inc,53.67,Groceries
monetize transparent models,83.04,Dining Out
Cochran PLC,11.74,Transport
benchmark customized e-business,28.54,Utilities
Mcdonald-Brown,73.93,Utilities
incentivize robust applications,98.24,Transport
Lopez-Valdez,25.69,Groceries
synergize B2B e-services,25.83,Utilities
Murphy-Guerra,12.26,Dining Out
cultivate front-end communities,15.35,Utilities
Forbes-Howard,51.21,Dining Out
synthesize extensible bandwidth,53.19,Groceries
"Adkins, Christensen and Fuentes",83.24,Dining Out
generate out-of-the-box e-services,82.81,Healthcare
Stone-Perez,59.09,Entertainment
architect next-generation e-commerce,36.78,Healthcare
"Baker, Stewart and Brown",71.30,Transport
utilize customized interfaces,81.81,Entertainment
"Fisher, Mcgrath and Woods",38.02,Healthcare
drive B2B e-services,87.72,Utilities
"Coleman, Miller and Thomas",66.47,Healthcare
extend web-enabled relationships,85.52,Healthcare
"Castro, Phelps and Clark",61.44,Transport
embrace killer functionalities,39.69,Healthcare
"Ray, Wade and Benjamin",43.16,Dining Out
incubate 24/365 networks,13.59,Groceries
Hamilton Inc,46.28,Entertainment
embrace value-added ROI,33.96,Dining Out
Gonzalez-Douglas,80.05,Dining Out
harness enterprise systems,18.20,Transport
"Brooks, Thompson and Page",43.56,Entertainment
brand robust e-markets,60.85,Entertainment
Lopez and Sons,37.40,Groceries
synergize front-end supply-chains,60.33,Transport
Nixon Ltd,19.77,Dining Out
scale turn-key channels,65.61,Entertainment
Torres-King,62.93,Groceries
enable interactive synergies,43.03,Transport
Torres and Sons,13.04,Healthcare
synthesize bricks-and-clicks partnerships,76.89,Transport
Reid Inc,86.06,Healthcare
morph strategic e-services,11.77,Utilities
"Robbins, Buck and Moses",71.76,Dining Out
transition interactive infrastructures,57.56,Groceries
Henderson Group,47.37,Transport
synthesize integrated architectures,97.11,Utilities
"Tran, Blair and Young",49.30,Healthcare
seize back-end platforms,71.35,Entertainment
Stark Inc,66.15,Dining Out
grow cross-media convergence,54.37,Healthcare
Torres-Gray,67.22,Healthcare
repurpose synergistic portals,52.58,Transport
Ramos-Valenzuela,63.71,Entertainment
benchmark ubiquitous architectures,39.65,Dining Out
Mendoza and Sons,50.11,Groceries
benchmark back-end convergence,70.99,Utilities
Lozano Group,49.75,Dining Out
reinvent extensible relationships,20.55,Utilities
Lopez-Williams,16.10,Healthcare
repurpose 24/7 technologies,90.56,Utilities
Kelley Inc,64.79,Healthcare
synthesize B2B niches,67.29,Groceries
Williams Inc,70.69,Transport
utilize frictionless action-items,28.13,Dining Out
"Wolfe, Leblanc and Neal",80.35,Dining Out
aggregate efficient architectures,17.60,Utilities
Fuller LLC,77.97,Healthcare
iterate intuitive infrastructures,25.64,Groceries
Bradford Inc,89.69,Dining Out
innovate scalable models,25.86,Groceries
"Horton, Wilson and Love",72.48,Healthcare
unleash B2B solutions,53.60,Groceries
"Wyatt, Brown and Lee",89.37,Dining Out
embrace revolutionary architectures,21.60,Transport
Tapia PLC,92.92,Transport
harness transparent schemas,66.74,Transport
Wallace and Sons,99.82,Groceries
unleash vertical web-readiness,94.41,Utilities
Bullock-Bridges,14.64,Healthcare
grow 24/7 relationships,30.00,Healthcare
"Wilson, Griffin and Phillips",97.62,Groceries
enhance vertical architectures,31.52,Utilities
Nguyen PLC,92.00,Dining Out
envisioneer next-generation e-tailers,69.35,Utilities
Davis Group,35.39,Healthcare
utilize back-end solutions,78.84,Utilities
"Rivas, Mcdaniel and Kelly",74.69,Dining Out
facilitate cross-platform supply-chains,25.52,Dining Out
"Blake, Chandler and Turner",44.63,Healthcare
exploit web-enabled convergence,28.75,Groceries
"Lawrence, Lambert and Hogan",65.15,Dining Out
extend global relationships,64.53,Groceries
Jacobs Group,79.94,Utilities
cultivate cross-media interfaces,32.50,Groceries
Davidson PLC,13.92,Entertainment
maximize front-end convergence,17.46,Groceries
"Manning, Ward and Kim",47.83,Utilities
deliver value-added architectures,70.35,Groceries
Ross and Sons,56.33,Entertainment
visualize mission-critical applications,88.57,Transport
Bryant-Dickson,31.06,Entertainment
expedite scalable applications,35.34,Dining Out
Fuentes-Sosa,56.84,Transport
embrace efficient supply-chains,27.34,Entertainment
Moran-Vasquez,20.93,Utilities
harness cutting-edge mindshare,58.42,Healthcare
Acevedo Ltd,16.33,Entertainment
expedite viral eyeballs,24.16,Dining Out
"Norton, Parsons and Huerta",30.28,Groceries
deploy distributed e-tailers,81.79,Dining Out
Gallagher Group,80.66,Healthcare
embrace 24/7 content,42.49,Healthcare
"Reyes, Simmons and Arnold",36.17,Utilities
utilize intuitive ROI,44.81,Entertainment
